,db2,ridge,dtr,random_forest,xgboost,nn,cluster
0,2015.0,119.0,99.0,82.0,96.0,119.0,5
1,2015.0,119.0,99.0,53.0,84.0,119.0,10
2,2015.0,109.0,134.0,60.0,60.0,109.0,15
3,2015.0,109.0,163.0,63.0,64.0,109.0,20
4,2015.0,106.0,149.0,64.0,58.0,105.0,25
5,2015.0,103.0,166.0,67.0,67.0,103.0,30
6,2015.0,102.0,163.0,73.0,65.0,102.0,35
7,2015.0,100.0,162.0,70.0,49.0,100.0,40
8,2015.0,98.0,162.0,75.0,56.0,98.0,45
9,2015.0,95.0,167.0,74.0,57.0,95.0,50
10,2015.0,93.0,185.0,76.0,64.0,93.0,55
11,2015.0,93.0,166.0,77.0,55.0,93.0,60
12,2015.0,85.0,185.0,77.0,57.0,85.0,65
13,2015.0,84.0,195.0,76.0,57.0,84.0,70
14,2015.0,83.0,186.0,78.0,54.0,83.0,75
15,2015.0,83.0,192.0,77.0,53.0,83.0,80
16,2015.0,81.0,190.0,78.0,58.0,81.0,85
17,2015.0,77.0,198.0,78.0,55.0,77.0,90
18,2015.0,80.0,188.0,78.0,53.0,80.0,95
19,2015.0,79.0,200.0,80.0,62.0,78.0,100
