,QUERYID,EXPLAIN_TIME,QUERY,SORT_SHRHEAP_TOP
0,1,2024-10-08-04.48.13.056756,"SELECT TPCDS.CUSTOMER.C_BIRTH_YEAR , TPCDS.DATE_DIM2.D_WEEK_SEQ FROM TPCDS.CUSTOMER INNER JOIN TPCDS.DATE_DIM2 ON TPCDS.DATE_DIM2.D_DATE_SK = TPCDS.CUSTOMER.C_FIRST_SHIPTO_DATE_SK WHERE TPCDS.DATE_DIM2.D_MOY = 12 AND TPCDS.DATE_DIM2.D_YEAR >= 1958",69
1,6,2024-10-08-04.48.39.202520,"SELECT TPCDS.CATALOG_PAGE.CP_CATALOG_PAGE_SK , TPCDS.DATE_DIM2.D_DOW FROM TPCDS.CATALOG_PAGE INNER JOIN TPCDS.DATE_DIM2 ON TPCDS.DATE_DIM2.D_DATE_SK = TPCDS.CATALOG_PAGE.CP_END_DATE_SK WHERE TPCDS.DATE_DIM2.D_SAME_DAY_LY >= 2414713 AND TPCDS.DATE_DIM2.D_MOY = 9",79
2,7,2024-10-08-04.48.41.419686,"SELECT TPCDS.CATALOG_SALES.CS_BILL_ADDR_SK , TPCDS.DATE_DIM2.D_DATE_SK FROM TPCDS.CATALOG_SALES INNER JOIN TPCDS.DATE_DIM2 ON TPCDS.DATE_DIM2.D_DATE_SK = TPCDS.CATALOG_SALES.CS_SHIP_DATE_SK WHERE TPCDS.CATALOG_SALES.CS_PROMO_SK <= 109 AND TPCDS.CATALOG_SALES.CS_EXT_SALES_PRICE <= +00045.36",318
3,11,2024-10-08-04.48.55.567842,"SELECT TPCDS.CATALOG_SALES.CS_SHIP_CUSTOMER_SK , TPCDS.DATE_DIM2.D_FY_QUARTER_SEQ FROM TPCDS.CATALOG_SALES INNER JOIN TPCDS.DATE_DIM2 ON TPCDS.DATE_DIM2.D_DATE_SK = TPCDS.CATALOG_SALES.CS_SHIP_DATE_SK WHERE TPCDS.CATALOG_SALES.CS_BILL_HDEMO_SK <= 6473 AND TPCDS.CATALOG_SALES.CS_EXT_LIST_PRICE <= +02592.80",945
4,12,2024-10-08-04.49.01.763536,"SELECT TPCDS.WEB_SALES.WS_EXT_WHOLESALE_COST , TPCDS.DATE_DIM2.D_FY_QUARTER_SEQ FROM TPCDS.WEB_SALES INNER JOIN TPCDS.DATE_DIM2 ON TPCDS.DATE_DIM2.D_DATE_SK = TPCDS.WEB_SALES.WS_SHIP_DATE_SK WHERE TPCDS.WEB_SALES.WS_WAREHOUSE_SK <= 2 AND TPCDS.WEB_SALES.WS_SALES_PRICE <= +00273.34",945
5,18,2024-10-08-04.49.23.108783,"SELECT TPCDS.CATALOG_SALES.CS_BILL_CDEMO_SK , TPCDS.DATE_DIM2.D_DOM FROM TPCDS.CATALOG_SALES INNER JOIN TPCDS.DATE_DIM2 ON TPCDS.DATE_DIM2.D_DATE_SK = TPCDS.CATALOG_SALES.CS_SHIP_DATE_SK WHERE TPCDS.CATALOG_SALES.CS_WHOLESALE_COST <= +00058.98 AND TPCDS.CATALOG_SALES.CS_EXT_SHIP_COST >= +00000.00",945
6,20,2024-10-08-04.49.26.842644,"SELECT TPCDS.WEB_SALES.WS_NET_PAID_INC_SHIP , TPCDS.DATE_DIM2.D_DOW FROM TPCDS.WEB_SALES INNER JOIN TPCDS.DATE_DIM2 ON TPCDS.DATE_DIM2.D_DATE_SK = TPCDS.WEB_SALES.WS_SHIP_DATE_SK WHERE TPCDS.WEB_SALES.WS_ORDER_NUMBER <= 17341 AND TPCDS.WEB_SALES.WS_ITEM_SK <= 4861",1005
7,27,2024-10-08-04.49.40.970494,"SELECT TPCDS.CATALOG_SALES.CS_ITEM_SK , TPCDS.DATE_DIM2.D_DATE_SK FROM TPCDS.CATALOG_SALES INNER JOIN TPCDS.DATE_DIM2 ON TPCDS.DATE_DIM2.D_DATE_SK = TPCDS.CATALOG_SALES.CS_SHIP_DATE_SK WHERE TPCDS.CATALOG_SALES.CS_BILL_HDEMO_SK >= 4646 AND TPCDS.CATALOG_SALES.CS_WHOLESALE_COST >= +00050.92",828
8,29,2024-10-08-04.49.54.418368,"SELECT TPCDS.CATALOG_SALES.CS_CALL_CENTER_SK , TPCDS.DATE_DIM2.D_FIRST_DOM FROM TPCDS.CATALOG_SALES INNER JOIN TPCDS.DATE_DIM2 ON TPCDS.DATE_DIM2.D_DATE_SK = TPCDS.CATALOG_SALES.CS_SHIP_DATE_SK WHERE TPCDS.CATALOG_SALES.CS_BILL_ADDR_SK <= 21044 AND TPCDS.DATE_DIM2.D_DATE_SK <= 2480381",848
9,30,2024-10-08-04.49.55.579790,"SELECT TPCDS.WEB_SITE.WEB_MKT_ID , TPCDS.DATE_DIM2.D_SAME_DAY_LY FROM TPCDS.WEB_SITE INNER JOIN TPCDS.DATE_DIM2 ON TPCDS.DATE_DIM2.D_DATE_SK = TPCDS.WEB_SITE.WEB_CLOSE_DATE_SK WHERE TPCDS.WEB_SITE.WEB_COMPANY_ID >= 4 AND TPCDS.DATE_DIM2.D_LAST_DOM >= 2427073",18
10,42,2024-10-08-04.50.20.045775,"SELECT TPCDS.WEB_SALES.WS_WEB_PAGE_SK , TPCDS.DATE_DIM2.D_FY_QUARTER_SEQ FROM TPCDS.WEB_SALES INNER JOIN TPCDS.DATE_DIM2 ON TPCDS.DATE_DIM2.D_DATE_SK = TPCDS.WEB_SALES.WS_SHIP_DATE_SK WHERE TPCDS.WEB_SALES.WS_BILL_CUSTOMER_SK >= 16164 AND TPCDS.DATE_DIM2.D_FIRST_DOM >= 2446279",552
11,44,2024-10-08-04.50.23.603879,"SELECT TPCDS.CUSTOMER.C_FIRST_SALES_DATE_SK , TPCDS.DATE_DIM2.D_SAME_DAY_LQ FROM TPCDS.CUSTOMER INNER JOIN TPCDS.DATE_DIM2 ON TPCDS.DATE_DIM2.D_DATE_SK = TPCDS.CUSTOMER.C_FIRST_SHIPTO_DATE_SK WHERE TPCDS.DATE_DIM2.D_DOM <= 27 AND TPCDS.CUSTOMER.C_CUSTOMER_SK <= 84304",844
12,46,2024-10-08-04.50.27.066207,"SELECT TPCDS.WEB_SALES.WS_QUANTITY , TPCDS.DATE_DIM2.D_FY_QUARTER_SEQ FROM TPCDS.WEB_SALES INNER JOIN TPCDS.DATE_DIM2 ON TPCDS.DATE_DIM2.D_DATE_SK = TPCDS.WEB_SALES.WS_SHIP_DATE_SK WHERE TPCDS.DATE_DIM2.D_DOW = 4 AND TPCDS.WEB_SALES.WS_NET_PAID_INC_SHIP_TAX <= +01352.82",173
13,48,2024-10-08-04.50.37.723427,"SELECT TPCDS.CATALOG_SALES.CS_SHIP_DATE_SK , TPCDS.DATE_DIM2.D_QUARTER_SEQ FROM TPCDS.CATALOG_SALES INNER JOIN TPCDS.DATE_DIM2 ON TPCDS.DATE_DIM2.D_DATE_SK = TPCDS.CATALOG_SALES.CS_SHIP_DATE_SK WHERE TPCDS.DATE_DIM2.D_QUARTER_SEQ >= 200 AND TPCDS.CATALOG_SALES.CS_ORDER_NUMBER <= 56843",707
14,50,2024-10-08-04.50.40.579234,"SELECT TPCDS.CUSTOMER.C_BIRTH_MONTH , TPCDS.DATE_DIM2.D_DOW FROM TPCDS.CUSTOMER INNER JOIN TPCDS.DATE_DIM2 ON TPCDS.DATE_DIM2.D_DATE_SK = TPCDS.CUSTOMER.C_FIRST_SHIPTO_DATE_SK WHERE TPCDS.DATE_DIM2.D_DOM <= 5 AND TPCDS.DATE_DIM2.D_DATE_SK <= 2457313",153
15,51,2024-10-08-04.50.43.559135,"SELECT TPCDS.WEB_SALES.WS_EXT_SALES_PRICE , TPCDS.DATE_DIM2.D_MOY FROM TPCDS.WEB_SALES INNER JOIN TPCDS.DATE_DIM2 ON TPCDS.DATE_DIM2.D_DATE_SK = TPCDS.WEB_SALES.WS_SHIP_DATE_SK WHERE TPCDS.WEB_SALES.WS_NET_PAID <= +01358.11 AND TPCDS.WEB_SALES.WS_WAREHOUSE_SK <= 1",963
16,52,2024-10-08-04.50.45.959185,"SELECT TPCDS.CATALOG_SALES.CS_SALES_PRICE , TPCDS.DATE_DIM2.D_SAME_DAY_LY FROM TPCDS.CATALOG_SALES INNER JOIN TPCDS.DATE_DIM2 ON TPCDS.DATE_DIM2.D_DATE_SK = TPCDS.CATALOG_SALES.CS_SHIP_DATE_SK WHERE TPCDS.CATALOG_SALES.CS_EXT_SHIP_COST <= +00017.76 AND TPCDS.DATE_DIM2.D_MOY <= 8",802
17,53,2024-10-08-04.51.02.735661,"SELECT TPCDS.CATALOG_SALES.CS_SHIP_MODE_SK , TPCDS.DATE_DIM2.D_DOW FROM TPCDS.CATALOG_SALES INNER JOIN TPCDS.DATE_DIM2 ON TPCDS.DATE_DIM2.D_DATE_SK = TPCDS.CATALOG_SALES.CS_SHIP_DATE_SK WHERE TPCDS.CATALOG_SALES.CS_NET_PAID_INC_TAX >= +00363.58 AND TPCDS.CATALOG_SALES.CS_NET_PAID_INC_SHIP >= +00978.88",945
18,56,2024-10-08-04.51.06.406285,"SELECT TPCDS.WEB_SITE.WEB_COMPANY_ID , TPCDS.DATE_DIM2.D_FY_WEEK_SEQ FROM TPCDS.WEB_SITE INNER JOIN TPCDS.DATE_DIM2 ON TPCDS.DATE_DIM2.D_DATE_SK = TPCDS.WEB_SITE.WEB_CLOSE_DATE_SK WHERE TPCDS.DATE_DIM2.D_SAME_DAY_LQ >= 2414988 AND TPCDS.DATE_DIM2.D_DOM <= 31",18
19,57,2024-10-08-04.51.08.597179,"SELECT TPCDS.CATALOG_SALES.CS_NET_PROFIT , TPCDS.DATE_DIM2.D_MONTH_SEQ FROM TPCDS.CATALOG_SALES INNER JOIN TPCDS.DATE_DIM2 ON TPCDS.DATE_DIM2.D_DATE_SK = TPCDS.CATALOG_SALES.CS_SHIP_DATE_SK WHERE TPCDS.CATALOG_SALES.CS_SHIP_HDEMO_SK <= 739 AND TPCDS.CATALOG_SALES.CS_WAREHOUSE_SK = 3",388
20,58,2024-10-08-04.51.09.919234,"SELECT TPCDS.DATE_DIM2.D_FY_QUARTER_SEQ , TPCDS.CATALOG_PAGE.CP_END_DATE_SK FROM TPCDS.DATE_DIM2 INNER JOIN TPCDS.CATALOG_PAGE ON TPCDS.CATALOG_PAGE.CP_END_DATE_SK = TPCDS.DATE_DIM2.D_DATE_SK WHERE TPCDS.CATALOG_PAGE.CP_CATALOG_PAGE_SK <= 3730 AND TPCDS.DATE_DIM2.D_QOY <= 3",46
