,db2,ridge,dtr,random_forest,xgboost,nn,cluster
0,2015.0,81.0,81.0,71.0,72.0,81.0,5
1,2015.0,75.0,85.0,58.0,64.0,74.0,10
2,2015.0,56.0,101.0,39.0,44.0,56.0,15
3,2015.0,56.0,115.0,42.0,37.0,55.0,20
4,2015.0,54.0,124.0,46.0,36.0,54.0,25
5,2015.0,53.0,161.0,48.0,39.0,53.0,30
6,2015.0,52.0,130.0,53.0,39.0,52.0,35
7,2015.0,40.0,181.0,56.0,31.0,40.0,40
8,2015.0,39.0,182.0,58.0,32.0,38.0,45
9,2015.0,31.0,196.0,64.0,37.0,31.0,50
10,2015.0,30.0,237.0,65.0,31.0,30.0,55
11,2015.0,30.0,208.0,66.0,37.0,29.0,60
12,2015.0,28.0,191.0,65.0,32.0,28.0,65
13,2015.0,28.0,178.0,66.0,35.0,27.0,70
14,2015.0,27.0,201.0,67.0,38.0,27.0,75
15,2015.0,27.0,203.0,67.0,34.0,26.0,80
16,2015.0,26.0,213.0,70.0,34.0,25.0,85
17,2015.0,25.0,209.0,71.0,37.0,24.0,90
18,2015.0,25.0,228.0,71.0,41.0,24.0,95
19,2015.0,23.0,218.0,71.0,35.0,22.0,100
